iter	Logloss
0	0.6337820174
1	0.5866244343
2	0.5496076374
3	0.5237321697
4	0.5006976525
5	0.4879879147
6	0.4751592963
7	0.4656232807
8	0.4573856618
9	0.4504966894
10	0.4433457132
11	0.4377155426
12	0.4335761411
13	0.429422449
14	0.4268203968
15	0.424676366
16	0.4227084503
17	0.4208888333
18	0.4185843264
19	0.4172878251
20	0.4158383684
21	0.4144556561
22	0.413266602
23	0.4122422139
24	0.411038397
25	0.4099053786
26	0.40922536
27	0.4083933417
28	0.4073839596
29	0.4070985827
30	0.4061823859
31	0.40566467
32	0.4051156394
33	0.404613684
34	0.4041565604
35	0.4037388125
36	0.4033257212
37	0.4029996681
38	0.4025623215
39	0.4019342373
40	0.4016808154
41	0.401406566
42	0.4009254512
43	0.400537907
44	0.4002851299
45	0.3999702436
46	0.3993246389
47	0.3989208532
48	0.3987167461
49	0.3982084125
50	0.3979504787
51	0.3976732142
52	0.3974304773
53	0.3971625659
54	0.3968462791
55	0.3965301919
56	0.3962866737
57	0.3960117354
58	0.3957911394
59	0.3956326625
60	0.3955038271
61	0.3951739124
62	0.3948135254
63	0.3946517135
64	0.3943949404
65	0.3940310445
66	0.3935805519
67	0.393194305
68	0.392932813
69	0.3926826277
70	0.3924553726
71	0.3921440241
72	0.3919348257
73	0.39172172
74	0.3915297985
75	0.3911430728
76	0.3907592732
77	0.3905104168
78	0.3903123654
79	0.3898625188
80	0.3897168212
81	0.3893135487
82	0.3890211032
83	0.3886972079
84	0.388519799
85	0.388293385
86	0.3880103769
87	0.3878057045
88	0.3874979161
89	0.3871422952
90	0.3867511768
91	0.3864275022
92	0.3860912695
93	0.3859095319
94	0.3852891749
95	0.38483905
96	0.3846016719
97	0.3842317972
98	0.3839438494
99	0.3837461257
