iter	Passed	Remaining
0	8	830
1	14	711
2	24	780
3	33	801
4	41	795
5	50	790
6	55	743
7	63	733
8	71	722
9	78	709
10	85	688
11	92	680
12	98	661
13	108	668
14	118	669
15	127	670
16	138	674
17	146	666
18	155	661
19	164	656
20	172	650
21	182	648
22	191	640
23	201	638
24	210	632
25	218	621
26	226	613
27	236	609
28	245	601
29	255	595
30	266	593
31	274	584
32	284	578
33	292	567
34	301	560
35	311	553
36	321	546
37	330	539
38	339	531
39	349	524
40	359	517
41	368	509
42	377	500
43	386	492
44	397	485
45	407	478
46	417	470
47	425	461
48	434	452
49	443	443
50	452	434
51	462	427
52	472	418
53	486	414
54	495	405
55	504	396
56	514	388
57	521	377
58	529	367
59	535	357
60	542	346
61	548	336
62	556	326
63	563	316
64	569	306
65	573	295
66	580	285
67	587	276
68	609	273
69	617	264
70	627	256
71	635	247
72	644	238
73	654	229
74	663	221
75	673	212
76	681	203
77	690	194
78	698	185
79	709	177
80	715	167
81	725	159
82	734	150
83	743	141
84	747	131
85	755	122
86	761	113
87	769	104
88	777	96
89	786	87
90	795	78
91	804	69
92	811	61
93	819	52
94	828	43
95	837	34
96	846	26
97	853	17
98	860	8
99	868	0
